ticker,name,sector,type,market_value,weight,notional_value,shares,price,location,exchange,currency
"6861","KEYENCE CORP","Information Technology","Equity","57,953,274.34","1.89","57,953,274.34","150,200.00","385.84","Japan","Tokyo Stock Exchange","JPY"
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","57,288,493.35","1.87","57,288,493.35","1,285,937.00","44.55","United States","NASDAQ","USD"
"ADSK","AUTODESK INC","Information Technology","Equity","56,205,730.62","1.84","56,205,730.62","265,899.00","211.38","United States","NASDAQ","USD"
"ROK","ROCKWELL AUTOMATION INC","Industrials","Equity","55,279,432.26","1.81","55,279,432.26","261,963.00","211.02","United States","New York Stock Exchange Inc.","USD"
"PTC","PTC INC","Information Technology","Equity","55,144,841.85","1.80","55,144,841.85","464,769.00","118.65","United States","NASDAQ","USD"
"GRMN","GARMIN LTD","Consumer Discretionary","Equity","54,610,723.14","1.78","54,610,723.14","517,441.00","105.54","United States","New York Stock Exchange Inc.","USD"
"6920","LASERTEC CORP","Information Technology","Equity","54,605,663.72","1.78","54,605,663.72","393,300.00","138.84","Japan","Tokyo Stock Exchange","JPY"
"6857","ADVANTEST CORP","Information Technology","Equity","54,438,765.00","1.78","54,438,765.00","816,100.00","66.71","Japan","Tokyo Stock Exchange","JPY"
"6201","TOYOTA INDUSTRIES CORP","Industrials","Equity","53,309,356.93","1.74","53,309,356.93","834,600.00","63.87","Japan","Tokyo Stock Exchange","JPY"
"SAP","SAP","Information Technology","Equity","52,587,509.33","1.72","52,587,509.33","522,410.00","100.66","Germany","Xetra","EUR"
"6723","RENESAS ELECTRONICS CORP","Information Technology","Equity","52,430,456.42","1.71","52,430,456.42","4,470,303.00","11.73","Japan","Tokyo Stock Exchange","JPY"
"6645","OMRON CORP","Information Technology","Equity","49,955,443.85","1.63","49,955,443.85","902,200.00","55.37","Japan","Tokyo Stock Exchange","JPY"
"6954","FANUC CORP","Industrials","Equity","49,092,906.27","1.60","49,092,906.27","306,454.00","160.20","Japan","Tokyo Stock Exchange","JPY"
"OTEX","OPEN TEXT CORP","Information Technology","Equity","47,096,795.92","1.54","47,096,795.92","1,191,379.00","39.53","Canada","Toronto Stock Exchange","CAD"
"6594","NIDEC CORP","Industrials","Equity","42,941,708.11","1.40","42,941,708.11","660,332.00","65.03","Japan","Tokyo Stock Exchange","JPY"
"SGE","SAGE GROUP PLC","Information Technology","Equity","41,618,931.43","1.36","41,618,931.43","4,902,367.00","8.49","United Kingdom","London Stock Exchange","GBP"
"6506","YASKAWA ELECTRIC CORP","Industrials","Equity","38,492,528.02","1.26","38,492,528.02","1,166,475.00","33.00","Japan","Tokyo Stock Exchange","JPY"
"CGNX","COGNEX CORP","Information Technology","Equity","37,657,805.00","1.23","37,657,805.00","763,850.00","49.30","United States","NASDAQ","USD"
